web-scraper-order,web-scraper-start-url,Date,Open,Close
1616535068-76,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 07, 2020",35.65,35.65
1616535068-201,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 09, 2020",32.1,32.3
1616535068-157,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 16, 2020",33.5,33.35
1616535068-135,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 15, 2020",36.05,36.15
1616535068-50,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 12, 2021",35.1,35.15
1616535068-128,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 27, 2020",36.7,36.6
1616535068-4,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 17, 2021",35.65,35.5
1616535068-73,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 10, 2020",35.6,35.5
1616535068-131,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 21, 2020",36.95,36.95
1616535068-205,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 04, 2020",29.68,29.27
1616535068-297,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 27, 2020",31.14,31.14
1616535068-91,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 16, 2020",35.25,35.4
1616535068-292,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 03, 2020",30.77,30.86
1616535068-94,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 11, 2020",35.35,35.5
1616535068-57,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 03, 2021",35,34.85
1616535068-99,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 05, 2020",34.65,34.6
1616535068-83,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 26, 2020",35.7,35.9
1616535068-185,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 01, 2020",32.45,32.7
1616535068-118,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 11, 2020",36,35.95
1616535068-219,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 13, 2020",28.55,28.5
1616535068-1,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 22, 2021",35.4,35.55
1616535068-60,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 29, 2020",35.05,35.1
1616535068-110,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 21, 2020",35.35,35.3
1616535068-161,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 11, 2020",33.1,33.3
1616535068-27,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 14, 2021",34.5,34.55
1616535068-170,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 22, 2020",33.05,33
1616535068-77,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 06, 2020",35.9,35.7
1616535068-174,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 16, 2020",33.4,33.4
1616535068-217,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 17, 2020",28.91,29.05
1616535068-101,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 03, 2020",34.25,34.4
1616535068-210,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 31, 2020",30.5,30
1616535068-141,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 07, 2020",35.85,35.75
1616535068-63,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 24, 2020",34.9,35
1616535068-223,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 07, 2020",28.23,28.18
1616535068-115,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 14, 2020",35.9,35.8
1616535068-7,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 14, 2021",35.8,35.8
1616535068-117,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 12, 2020",35.95,35.95
1616535068-126,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 29, 2020",36.5,36.2
1616535068-230,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 28, 2020",27.86,27.91
1616535068-59,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 30, 2020",35.05,35.05
1616535068-270,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 04, 2020",29.91,30.05
1616535068-282,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 17, 2020",29.82,30.09
1616535068-308,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 12, 2020",31.82,31.64
1616535068-23,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 18, 2021",34.75,34.75
1616535068-183,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 05, 2020",32.85,32.8
1616535068-150,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 25, 2020",34.9,34.95
1616535068-97,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 09, 2020",34.9,35.5
1616535068-124,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 01, 2020",35.8,35.75
1616535068-87,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 22, 2020",35.45,35.3
1616535068-279,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 20, 2020",30.36,30.59
1616535068-66,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Dec 21, 2020",35,34.8
1616535068-216,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 18, 2020",29.09,29.41
1616535068-42,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 24, 2021",34.8,34.95
1616535068-271,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 03, 2020",30.05,30.05
1616535068-177,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 13, 2020",33.45,33.3
1616535068-34,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 03, 2021",34.2,34
1616535068-173,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jul 19, 2020",33.3,33.15
1616535068-306,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 14, 2020",31.59,31.68
1616535068-54,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 06, 2021",34.85,34.8
1616535068-196,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 16, 2020",32.3,32.55
1616535068-139,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 09, 2020",35.75,35.8
1616535068-53,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 07, 2021",34.75,34.9
1616535068-165,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 05, 2020",33,33.05
1616535068-152,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 23, 2020",34.15,34.1
1616535068-122,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 05, 2020",35.05,35.85
1616535068-55,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 05, 2021",34.9,34.85
1616535068-154,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 19, 2020",34,34.15
1616535068-262,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 16, 2020",25.55,25.27
1616535068-208,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 02, 2020",29.91,29.68
1616535068-146,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 31, 2020",35.1,35.55
1616535068-84,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 25, 2020",35.75,35.7
1616535068-140,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Sep 08, 2020",35.75,35.95
1616535068-268,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 08, 2020",29,27.27
1616535068-40,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 26, 2021",34.75,34.7
1616535068-224,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"May 06, 2020",28.86,28.41
1616535068-92,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 15, 2020",35.2,35.3
1616535068-189,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 25, 2020",32.65,32.7
1616535068-233,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 23, 2020",27.27,27.27
1616535068-287,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 10, 2020",30.86,30.55
1616535068-104,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Oct 29, 2020",34,33.7
1616535068-231,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 27, 2020",28.09,28
1616535068-248,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 02, 2020",28.14,28.77
1616535068-17,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 28, 2021",34.4,34.45
1616535068-288,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 09, 2020",30.32,30.95
1616535068-198,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 14, 2020",32.25,32.25
1616535068-243,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 09, 2020",29.09,29.14
1616535068-158,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 13, 2020",33.15,33.15
1616535068-187,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jun 29, 2020",32.6,32.65
1616535068-162,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Aug 10, 2020",33.05,33.1
1616535068-286,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 11, 2020",30.5,30.41
1616535068-305,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Jan 15, 2020",31.64,31.55
1616535068-95,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 10, 2020",35.5,35.35
1616535068-280,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 19, 2020",30.18,30.36
1616535068-32,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Feb 07, 2021",34,34.1
1616535068-86,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Nov 23, 2020",35.3,35.5
1616535068-273,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Mar 01, 2020",29.91,29.68
1616535068-242,https://finance.yahoo.com/quote/2222.SR/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true,"Apr 12, 2020",29.09,28.77
